No	O	Na	Mg	Al	Si	S	Cl	K	Ca	Cr	Fe	Zn	Sr	Ba	Pb	Sum
1	27.2		0.1						32.7						2.7	62.8
3	16.6								22.5						28.0	67.0
4	27.4								20.3			0.4			29.8	77.9
5	12.0								8.2						49.6	69.8
6	16.6								20.4	0.2		0.8			28.6	66.6
7	7.2		0.1	0.1	0.2	2.0		1.7	0.8	0.6	14.1	17.7		0.5	3.0	48.0
8	11.3			0.4		9.0		0.6	0.4	1.1	0.7	2.7	2.3	36.6	4.0	69.0
9	26.0					17.9			24.1	0.1		1.1				69.2
10	21.1					2.1		6.5		18.8		25.1		0.4	0.5	74.4
11	18.1					9.4		0.3	11.3	1.0		12.5		0.4		53.0
13	22.3			0.2	0.2	2.3		5.9	0.5	16.2		25.1		0.7	1.6	75.1
14	12.8			1.2		7.4			0.5	4.0	0.2	3.6		29.8	22.7	82.2
15	1.7					0.8		0.7	0.5	2.3		21.9		2.1	1.2	31.1
16	12.8	1.6						0.1		23.3		8.1			1.5	47.3
17	7.9			0.2		0.5	0.1	0.1	0.4	1.2		30.1		0.5	3.1	44.1
